列1,列2,列3,列4,列5,列6,列7
山手線,各駅停車,0,池袋・上野方面,15,0,0
山手線,各駅停車,442,渋谷・品川方面,14,0,0
山手線,各駅停車,442,池袋・上野方面,15,0,0
山手線,各駅停車,502,渋谷・品川方面,14,0,0
山手線,各駅停車,519,渋谷・品川方面,14,0,0
山手線,各駅停車,519,池袋・上野方面,15,0,0
山手線,各駅停車,537,渋谷・品川方面,14,0,0
山手線,各駅停車,537,池袋・上野方面,15,0,0
山手線,各駅停車,547,渋谷・品川方面,14,0,0
山手線,各駅停車,547,池袋・上野方面,15,0,0
山手線,各駅停車,558,渋谷・品川方面,14,0,0
山手線,各駅停車,558,池袋・上野方面,15,0,0
中央線(快速),快速,605,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,606,渋谷・品川方面,14,0,0
山手線,各駅停車,606,池袋・上野方面,15,0,0
中央線(快速),快速,612,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,612,渋谷・品川方面,14,0,0
山手線,各駅停車,612,池袋・上野方面,15,0,0
山手線,各駅停車,618,渋谷・品川方面,14,0,0
山手線,各駅停車,618,池袋・上野方面,15,0,0
中央線(快速),快速,620,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,621,高尾,0,0,0
山手線,各駅停車,622,渋谷・品川方面,14,0,0
山手線,各駅停車,622,池袋・上野方面,15,0,0
中央線(快速),中央特快,626,高尾,0,0,0
中央線(快速),快速,627,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,630,渋谷・品川方面,14,0,0
山手線,各駅停車,630,池袋・上野方面,15,0,0
中央線(快速),快速,631,高尾,0,0,0
中央線(快速),快速,635,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,637,高尾,0,0,0
山手線,各駅停車,638,渋谷・品川方面,14,0,0
山手線,各駅停車,638,池袋・上野方面,15,0,0
中央線(快速),快速,640,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,641,渋谷・品川方面,14,0,0
山手線,各駅停車,641,池袋・上野方面,15,0,0
中央線(快速),快速,642,高尾,0,0,0
中央線(快速),中央特快,645,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,647,渋谷・品川方面,14,0,0
山手線,各駅停車,647,池袋・上野方面,15,0,0
中央線(快速),中央特快,648,高尾,0,0,0
中央線(快速),快速,650,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,652,青梅,0,0,0
山手線,各駅停車,653,渋谷・品川方面,14,0,0
山手線,各駅停車,653,池袋・上野方面,15,0,0
中央線(快速),快速,657,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,659,渋谷・品川方面,14,0,0
山手線,各駅停車,659,池袋・上野方面,15,0,0
中央本線(特急),特急,700,松本,0,始発,0
中央線(快速),中央特快,701,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,704,高尾,0,0,0
山手線,各駅停車,704,渋谷・品川方面,14,0,0
山手線,各駅停車,704,池袋・上野方面,15,0,0
中央線(快速),快速,707,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,709,渋谷・品川方面,14,0,0
山手線,各駅停車,709,池袋・上野方面,15,0,0
中央線(快速),快速,710,高尾,0,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,710,新木場,1,0,0
中央線(快速),快速,711,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,712,渋谷・品川方面,14,0,0
山手線,各駅停車,712,池袋・上野方面,15,0,0
中央線(快速),快速,713,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,714,渋谷・品川方面,14,0,0
山手線,各駅停車,714,池袋・上野方面,15,0,0
中央線(快速),快速,715,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,716,高尾,0,0,0
中央線(快速),快速,717,東京,7,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,717,渋谷・品川方面,14,0,0
山手線,各駅停車,717,池袋・上野方面,15,0,0
中央線(快速),快速,719,立川,0,0,0
山手線,各駅停車,720,渋谷・品川方面,14,0,0
山手線,各駅停車,720,池袋・上野方面,15,0,0
中央線(快速),快速,722,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,722,武蔵小金井,0,0,0
山手線,各駅停車,723,渋谷・品川方面,14,0,0
山手線,各駅停車,723,池袋・上野方面,15,0,0
中央線(快速),快速,724,高尾,0,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,724,新木場,1,0,0
中央線(快速),快速,725,高尾,0,0,0
山手線,各駅停車,725,渋谷・品川方面,14,0,0
山手線,各駅停車,725,池袋・上野方面,15,0,0
中央線(快速),快速,726,東京,7,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,728,渋谷・品川方面,14,0,0
山手線,各駅停車,728,池袋・上野方面,15,0,0
中央本線(特急),特急,730,南小谷,0,0,0
中央線(快速),快速,731,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,731,高尾,0,0,0
山手線,各駅停車,731,渋谷・品川方面,14,0,0
山手線,各駅停車,731,池袋・上野方面,15,0,0
埼京線・東京臨海高速鉄道りんかい線直通,通勤快速,733,新木場,1,0,0
中央線(快速),快速,734,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,734,武蔵小金井,0,0,0
山手線,各駅停車,734,渋谷・品川方面,14,0,0
山手線,各駅停車,734,池袋・上野方面,15,0,0
山手線,各駅停車,736,渋谷・品川方面,14,0,0
山手線,各駅停車,736,池袋・上野方面,15,0,0
中央線(快速),快速,737,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,737,高尾,0,0,0
中央線(快速),通勤特快,739,東京,7,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,739,渋谷・品川方面,14,0,0
山手線,各駅停車,739,池袋・上野方面,15,0,0
中央線(快速),快速,741,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,741,高尾,0,0,0
山手線,各駅停車,742,渋谷・品川方面,14,0,0
山手線,各駅停車,742,池袋・上野方面,15,0,0
中央線(快速),快速,743,武蔵小金井,0,0,0
中央線(快速),快速,744,東京,8,0,四ツ谷/御茶ノ水/神田/東京
埼京線・東京臨海高速鉄道りんかい線直通,通勤快速,744,新木場,1,0,0
中央線(快速),快速,745,青梅,0,0,0
山手線,各駅停車,745,渋谷・品川方面,14,0,0
山手線,各駅停車,745,池袋・上野方面,15,0,0
中央線(快速),快速,747,東京,7,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,747,渋谷・品川方面,14,0,0
山手線,各駅停車,747,池袋・上野方面,15,0,0
中央線(快速),快速,749,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,749,高尾,0,0,0
山手線,各駅停車,750,渋谷・品川方面,14,0,0
山手線,各駅停車,750,池袋・上野方面,15,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,750,新木場,2,0,0
中央線(快速),快速,751,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),通勤特快,753,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,753,渋谷・品川方面,14,0,0
山手線,各駅停車,753,池袋・上野方面,15,0,0
中央線(快速),快速,754,高尾,0,0,0
中央線(快速),快速,755,東京,7,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,756,渋谷・品川方面,14,0,0
山手線,各駅停車,756,池袋・上野方面,15,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,757,新木場,2,0,0
中央線(快速),快速,758,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,759,渋谷・品川方面,14,0,0
山手線,各駅停車,759,池袋・上野方面,15,0,0
中央線(快速),快速,800,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央本線(特急),特急,800,松本,0,始発,0
埼京線・東京臨海高速鉄道りんかい線直通,通勤快速,800,新木場,1,0,0
中央線(快速),快速,801,青梅,0,0,0
山手線,各駅停車,801,渋谷・品川方面,14,0,0
山手線,各駅停車,801,池袋・上野方面,15,0,0
中央線(快速),快速,802,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,803,武蔵小金井,0,0,0
中央線(快速),快速,804,東京,7,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,804,渋谷・品川方面,14,0,0
山手線,各駅停車,804,池袋・上野方面,15,0,0
中央線(快速),快速,805,高尾,0,0,0
中央線(快速),快速,806,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,807,武蔵小金井,0,0,0
山手線,各駅停車,807,渋谷・品川方面,14,0,0
山手線,各駅停車,807,池袋・上野方面,15,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,808,新木場,2,0,0
中央線(快速),快速,809,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,810,高尾,0,0,0
山手線,各駅停車,810,渋谷・品川方面,14,0,0
山手線,各駅停車,810,池袋・上野方面,15,0,0
中央線(快速),快速,811,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,812,豊田,0,0,0
山手線,各駅停車,812,渋谷・品川方面,14,0,0
山手線,各駅停車,812,池袋・上野方面,15,0,0
中央線(快速),快速,813,東京,7,0,四ツ谷/御茶ノ水/神田/東京
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,814,新木場,2,0,0
中央線(快速),快速,815,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,815,豊田,0,0,0
山手線,各駅停車,815,渋谷・品川方面,14,0,0
山手線,各駅停車,815,池袋・上野方面,15,0,0
中央線(快速),快速,817,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,817,高尾,0,0,0
埼京線・東京臨海高速鉄道りんかい線直通,通勤快速,817,新木場,1,0,0
山手線,各駅停車,818,渋谷・品川方面,14,0,0
山手線,各駅停車,818,池袋・上野方面,15,0,0
中央線(快速),快速,819,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,819,青梅,0,0,0
山手線,各駅停車,820,渋谷・品川方面,14,0,0
山手線,各駅停車,820,池袋・上野方面,15,0,0
中央線(快速),快速,822,東京,7,0,四ツ谷/御茶ノ水/神田/東京
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,822,新木場,1,0,0
山手線,各駅停車,823,渋谷・品川方面,14,0,0
山手線,各駅停車,823,池袋・上野方面,15,0,0
中央線(快速),快速,824,東京,8,0,四ツ谷/御茶ノ水/神田/東京
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,824,新木場,2,0,0
中央線(快速),快速,826,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,826,立川,0,0,0
山手線,各駅停車,826,渋谷・品川方面,14,0,0
山手線,各駅停車,826,池袋・上野方面,15,0,0
中央線(快速),快速,828,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,828,豊田,0,0,0
山手線,各駅停車,828,渋谷・品川方面,14,0,0
山手線,各駅停車,828,池袋・上野方面,15,0,0
中央線(快速),快速,830,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央本線(特急),特急,830,松本,0,始発,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,830,新木場,2,0,0
山手線,各駅停車,831,渋谷・品川方面,14,0,0
山手線,各駅停車,831,池袋・上野方面,15,0,0
中央線(快速),快速,832,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,832,高尾,0,0,0
埼京線・東京臨海高速鉄道りんかい線直通,通勤快速,832,新木場,1,0,0
中央線(快速),快速,834,武蔵小金井,0,0,0
山手線,各駅停車,834,渋谷・品川方面,14,0,0
山手線,各駅停車,834,池袋・上野方面,15,0,0
中央線(快速),快速,835,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,836,豊田,0,0,0
中央線(快速),快速,837,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,837,渋谷・品川方面,14,0,0
山手線,各駅停車,837,池袋・上野方面,15,0,0
中央線(快速),快速,838,高尾,0,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,838,新木場,1,0,0
中央線(快速),快速,839,東京,7,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,839,渋谷・品川方面,14,0,0
山手線,各駅停車,839,池袋・上野方面,15,0,0
中央線(快速),快速,840,豊田,0,0,0
中央線(快速),快速,841,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,842,八王子,0,0,0
山手線,各駅停車,842,渋谷・品川方面,14,0,0
山手線,各駅停車,842,池袋・上野方面,15,0,0
中央線(快速),通勤特快,843,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,844,豊田,0,0,0
埼京線・東京臨海高速鉄道りんかい線直通,通勤快速,844,新木場,1,0,0
中央線(快速),快速,845,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,845,渋谷・品川方面,14,0,0
山手線,各駅停車,845,池袋・上野方面,15,0,0
中央線(快速),快速,846,高尾,0,0,0
中央線(快速),快速,847,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,848,青梅,0,0,0
山手線,各駅停車,848,渋谷・品川方面,14,0,0
山手線,各駅停車,848,池袋・上野方面,15,0,0
中央線(快速),快速,849,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,850,武蔵小金井,0,0,0
山手線,各駅停車,850,渋谷・品川方面,14,0,0
山手線,各駅停車,850,池袋・上野方面,15,0,0
中央線(快速),快速,851,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,852,立川,0,0,0
中央線(快速),快速,853,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,853,渋谷・品川方面,14,0,0
山手線,各駅停車,853,池袋・上野方面,15,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,853,新木場,1,0,0
中央線(快速),快速,854,豊田,0,0,0
中央線(快速),快速,855,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,856,武蔵小金井,0,0,0
山手線,各駅停車,856,渋谷・品川方面,14,0,0
山手線,各駅停車,856,池袋・上野方面,15,0,0
中央線(快速),通勤特快,857,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,858,高尾,0,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,858,新木場,1,0,0
中央線(快速),快速,859,東京,7,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,859,渋谷・品川方面,14,0,0
山手線,各駅停車,859,池袋・上野方面,15,0,0
中央本線(特急),特急,900,松本,0,始発,0
中央線(快速),快速,901,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,901,渋谷・品川方面,14,0,0
山手線,各駅停車,901,池袋・上野方面,15,0,0
中央線(快速),快速,902,豊田,0,0,0
中央線(快速),快速,903,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,904,高尾,0,0,0
山手線,各駅停車,904,渋谷・品川方面,14,0,0
山手線,各駅停車,904,池袋・上野方面,15,0,0
中央線(快速),快速,906,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,906,豊田,0,0,0
山手線,各駅停車,907,渋谷・品川方面,14,0,0
山手線,各駅停車,907,池袋・上野方面,15,0,0
中央線(快速),快速,908,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,908,武蔵小金井,0,0,0
中央線(快速),快速,910,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,910,八王子,0,0,0
山手線,各駅停車,910,渋谷・品川方面,14,0,0
山手線,各駅停車,910,池袋・上野方面,15,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,911,新木場,1,0,0
中央線(快速),快速,912,高尾,0,0,0
山手線,各駅停車,913,渋谷・品川方面,14,0,0
山手線,各駅停車,913,池袋・上野方面,15,0,0
中央本線(特急),特急,914,東京,7,0,東京
中央線(快速),快速,914,武蔵小金井,0,0,0
山手線,各駅停車,915,大崎,14,0,0
山手線,各駅停車,915,池袋・上野方面,15,0,0
埼京線・東京臨海高速鉄道りんかい線直通,通勤快速,915,新木場,1,0,0
中央線(快速),快速,916,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,916,青梅,0,0,0
中央線(快速),快速,918,武蔵小金井,0,0,0
山手線,各駅停車,918,渋谷・品川方面,14,0,0
山手線,各駅停車,918,池袋・上野方面,15,0,0
中央線(快速),快速,919,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,920,大月,0,0,0
中央線(快速),通勤特快,921,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,921,池袋,14,0,0
山手線,各駅停車,921,池袋・上野方面,15,0,0
中央線(快速),快速,922,八王子,0,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,922,新木場,1,0,0
中央線(快速),快速,923,東京,7,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,923,渋谷・品川方面,14,0,0
山手線,各駅停車,923,池袋・上野方面,15,0,0
中央線(快速),快速,924,豊田,0,0,0
中央線(快速),快速,925,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,926,高尾,0,0,0
山手線,各駅停車,926,渋谷・品川方面,14,0,0
山手線,各駅停車,926,池袋・上野方面,15,0,0
中央線(快速),快速,928,豊田,0,0,0
埼京線・東京臨海高速鉄道りんかい線直通,通勤快速,928,新木場,1,0,0
山手線,各駅停車,929,渋谷・品川方面,14,0,0
山手線,各駅停車,929,池袋・上野方面,15,0,0
中央線(快速),快速,930,東京,7,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,931,武蔵小金井,0,0,0
山手線,各駅停車,931,大崎,14,0,0
山手線,各駅停車,931,池袋・上野方面,15,0,0
中央線(快速),快速,933,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,934,渋谷・品川方面,14,0,0
山手線,各駅停車,934,池袋・上野方面,15,0,0
中央線(快速),快速,935,青梅,0,0,0
中央線(快速),快速,937,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,937,豊田,0,0,0
山手線,各駅停車,937,渋谷・品川方面,14,0,0
山手線,各駅停車,937,池袋・上野方面,15,0,0
中央線(快速),快速,939,武蔵小金井,0,0,0
山手線,各駅停車,939,渋谷・品川方面,14,0,0
山手線,各駅停車,939,池袋・上野方面,15,0,0
中央線(快速),快速,941,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,942,高尾,0,0,0
山手線,各駅停車,943,渋谷・品川方面,14,0,0
山手線,各駅停車,943,池袋・上野方面,15,0,0
中央線(快速),快速,944,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,945,大崎,14,0,0
山手線,各駅停車,945,池袋・上野方面,15,0,0
埼京線・東京臨海高速鉄道りんかい線直通,通勤快速,945,新木場,1,0,0
中央線(快速),中央特快,947,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),中央特快,947,高尾,0,0,0
山手線,各駅停車,948,渋谷・品川方面,14,0,0
山手線,各駅停車,948,池袋・上野方面,15,0,0
中央線(快速),快速,949,武蔵小金井,0,0,0
中央線(快速),快速,951,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,951,青梅,0,0,0
山手線,各駅停車,951,渋谷・品川方面,14,0,0
山手線,各駅停車,951,池袋・上野方面,15,0,0
中央線(快速),快速,954,高尾,0,0,0
山手線,各駅停車,954,渋谷・品川方面,14,0,0
山手線,各駅停車,954,池袋・上野方面,15,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,955,新木場,1,0,0
中央本線(特急),特急,956,東京,7,0,東京
山手線,各駅停車,957,渋谷・品川方面,14,0,0
山手線,各駅停車,957,池袋・上野方面,15,0,0
中央線(快速),快速,959,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,959,大崎,14,0,0
山手線,各駅停車,959,池袋・上野方面,15,0,0
中央本線(特急),特急,1000,松本,0,始発,0
中央線(快速),快速,1001,立川,0,0,0
中央線(快速),中央特快,1002,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,1002,渋谷・品川方面,14,0,0
山手線,各駅停車,1002,池袋・上野方面,15,0,0
