東海道線,246,138,30,,,
横須賀線・総武線快速,0,121,193,,,
湘南新宿ライン,226,31,37,,,
京浜東北線・根岸線,0,177,228,,,
相模線,0,150,146,,,
横浜線・根岸線,128,195,66,,,
南武線,255,211,0,,,
鶴見線,255,211,0,,,
山手線,128,195,66,,,
中央本線,0,121,193,,,
中央線快速,240,90,33,,,
中央・総武線各駅停車,255,211,0,,,
中央線・地下鉄東西線直通,146,141,132,,,
青梅線,240,90,33,,,
五日市線,240,90,33,,,
八高線,146,141,132,,,
宇都宮線(東北線),246,138,30,,,
高崎線,246,138,30,,,
埼京線・川越線,0,180,141,0,0,255
川越線・八高線,146,141,132,,,
常磐線,0,121,193,,,
常磐線快速・成田線,0,177,96,,,
常盤線各駅停車・地下鉄千代田線直通,146,141,132,,,
総武線,146,141,132,,,
内房線,220,174,39,,,
外房線,0,135,71,,,
成田線,0,177,96,,,
東金線,240,90,33,,,
京葉線,200,36,46,,,
武蔵野線・京葉線,240,90,33,,,
上越線,246,138,30,,,
両毛線,246,138,30,,,
水戸線,0,121,193,,,
伊東線,246,138,30,,,
東京モノレール,226,31,37,,,
日光線,246,138,30,,,
上野東京ライン,145,39,143,,,
成田エクスプレス,255,255,255,,,
